name,affiliation,department,gold_email,gold_website
Kristen Chiama,Harvard University,Department of Earth and Planetary Sciences,,
Kyra Jun,Harvard University,Department of Earth and Planetary Sciences,,
Laura Ramirez Lazaro,Harvard University,Department of Earth and Planetary Sciences,,
Laura Yang,Harvard University,Department of Earth and Planetary Sciences,,
Lauren Potyk,Harvard University,Department of Earth and Planetary Sciences,,
Leah Tadese,Harvard University,Department of Earth and Planetary Sciences,,
Lluís Salo-Salgado,Harvard University,Department of Earth and Planetary Sciences,,
Logan Wilson,Harvard University,Department of Earth and Planetary Sciences,,
Loretta Mickley,Harvard University,Department of Earth and Planetary Sciences,,
Lucas Estrada,Harvard University,Department of Earth and Planetary Sciences,,
Lucille Komar,Harvard University,Department of Earth and Planetary Sciences,,
Lucy Wanzer,Harvard University,Department of Earth and Planetary Sciences,,
Madison Codding,Harvard University,Department of Earth and Planetary Sciences,,
Manar Al Asad,Harvard University,Department of Earth and Planetary Sciences,,
Margaret Lindeman,Harvard University,Department of Earth and Planetary Sciences,,
Marianna Linz,Harvard University,Department of Earth and Planetary Sciences,,
Mariya Pershyna,Harvard University,Department of Earth and Planetary Sciences,,
Maryorie Grande,Harvard University,Department of Earth and Planetary Sciences,,
Megan He,Harvard University,Department of Earth and Planetary Sciences,,
Miah Ebels Duggan,Harvard University,Department of Earth and Planetary Sciences,,
Miaki Ishii,Harvard University,Department of Earth and Planetary Sciences,,
Michael Gee,Harvard University,Department of Earth and Planetary Sciences,,
Michael McElroy,Harvard University,Department of Earth and Planetary Sciences,,
Michail Petaev,Harvard University,Department of Earth and Planetary Sciences,,
Michelle Merchan,Harvard University,Department of Earth and Planetary Sciences,,
Mike Foley,Harvard University,Department of Earth and Planetary Sciences,,
Min Lee,Harvard University,Department of Earth and Planetary Sciences,,
Mingzhen Yu,Harvard University,Department of Earth and Planetary Sciences,,
Mostafa Mousavi,Harvard University,Department of Earth and Planetary Sciences,,
Nadja Drabon,Harvard University,Department of Earth and Planetary Sciences,,
Nani Dela Rosa,Harvard University,Department of Earth and Planetary Sciences,,
Naomi Oreskes,Harvard University,Department of Earth and Planetary Sciences,,
Naomi Whidden,Harvard University,Department of Earth and Planetary Sciences,,
Natasha Toghramadjian,Harvard University,Department of Earth and Planetary Sciences,,
Natasha Valencic,Harvard University,Department of Earth and Planetary Sciences,,
Nathan Marshall,Harvard University,Department of Earth and Planetary Sciences,,
Nathanael Wong,Harvard University,Department of Earth and Planetary Sciences,,
Nathaniel Tarshish,Harvard University,Department of Earth and Planetary Sciences,,
Nick Balasus,Harvard University,Department of Earth and Planetary Sciences,,
Olivia Pietz,Harvard University,Department of Earth and Planetary Sciences,,
Parvej Khan,Harvard University,Department of Earth and Planetary Sciences,,
Peter Blatchford,Harvard University,Department of Earth and Planetary Sciences,,
Peter Higgins,Harvard University,Department of Earth and Planetary Sciences,,
PhannyPacc Phan,Harvard University,Department of Earth and Planetary Sciences,,
Postdoctoral Fellows,Harvard University,Department of Earth and Planetary Sciences,,
Qingqi Zhang,Harvard University,Department of Earth and Planetary Sciences,,
Qiyu Song,Harvard University,Department of Earth and Planetary Sciences,,
Rachel Gnieski,Harvard University,Department of Earth and Planetary Sciences,,
Raia Ottenheimer,Harvard University,Department of Earth and Planetary Sciences,,
Raquel Alonso-Perez,Harvard University,Department of Earth and Planetary Sciences,,
Rebecca Fischer,Harvard University,Department of Earth and Planetary Sciences,,
